Settlements.Settlement.text.castle_KH1	Важны шахтарскі форт, умацаваны для абароны скарбаў гэтага багатага краю.
Settlements.Settlement.text.village_AN1_1	Гулкі Пік — гара ў Чорных Горах, адметная адтулінамі каля вяршыні. Невядома, хто іх зрабіў і ці зрабіў іх нехта ўвогуле. Калі вецер праходзіць празь іх, узьнікае сьвіст, які бянтэжыць неспрактыкаваных падарожнікаў. Тыя, хто ведае пра гэтую прыродную зьяву, могуць вызначыць кірунак ветру на вяршынях проста на слых.
Settlements.Settlement.text.village_AN1_2	Нядаўна графства Аверлянд і дварфскае гаспадарства Карак-Ангазхар дамовіліся збудаваць шэраг плацінаў на Верхнім Райку, каб стрымаць паводкі й забясьпечыць надзейныя пастаўкі вады. Не абышлося без спрэчак: Вісэнлянд спрабаваў перашкодзіць саюзу, бо той мог паўплываць на ягонае водазабесьпячэньне. Інжынэры Аверлянду таксама пратэставалі, сьцьвярджаючы, што праца мусіць належаць ім і выконвацца чалавечымі рукамі. Нягледзячы на пратэсты, даві ўжо пачалі будаваць першую плаціну.
Settlements.Settlement.text.castle_AN1	Мігдал Вонгалбарак — малы форт даві высока ў Чорных Горах, які пільнуе перавал Чорнае Полымя й пагрозы, што могуць паспрабаваць пранікнуць у Імперыю. Крэпасьць невялікая, але трывалая й здольная вытрымаць доўгую аблогу. Выведнікі могуць загадзя заўважыць небясьпеку й хутка паслаць ганцоў у іншыя дварфскія каракі ці Імперыю.
Settlements.Settlement.text.castle_village_AN1_1	Грунг Тэпскаф — малая срэбная капальня, дзе ў адну зьмену працуе ўсяго каля 40 дварфаў. Але здабычы хапае для ўтрыманьня насельніцтва краю й даволі заможнага жыцьця. Імперскія купцы часта прыходзяць абмяняць бочку-другую прыпасаў на срэбныя самародкі.
Settlements.Settlement.text.castle_village_AN1_2	Прытулак Чорны Агонь — малая дварфская застава, схаваная сярод дрэваў каля перавалу Чорнае Полымя. Даві выкарыстоўваюць тутэйшую драўніну для ўмацаваньня тунэляў, а таксама на дзяржаньні кіркаў, сякераў, малатоў і паходняў. Караваны, што ідуць празь перавал, таксама часта адпачываюць тут пад адносна надзейнай аховаю.
Settlements.Settlement.text.town_ZH1	Жуфбар, цьвярдыня-блізьнюк Карак-Варну, выплаўляе здабытыя пад ім мэталы, асабліва громрыл, і куе зь іх зброю ды дасьпехі, дзякуючы якім дварфы — грозная сіла. Гэта найбольш мэханізаваная цьвярдыня, збудаваная ў глыбокай прорве, якую за доўгі час прамыў бурлівы вадаспад, што падае праз самы яе цэнтар. Ад суседніх вяршыняў адбіваецца грукат тысячаў вадзяных колаў, хрып мяхоў і ўдары цяжкіх малатоў — няспынны гул прамысловасьці.
Settlements.Settlement.text.village_ZH1_1	Бардураз Варн — малое вадасховішча каля Жуфбару, якое накіроўвае ваду з возера Чорная Вада ў цьвярдыню, забясьпечваючы энэргіяй яе мэханізмы. Збудаваньне настолькі трывалае, што нават землятрусы Часоў Ліха не змаглі яму пашкодзіць.
Settlements.Settlement.text.village_ZH1_2	Малы дварфскі лягер, які пастаўляе даволі шмат салёнай ежы.
Settlements.Settlement.text.castle_ZH1	Дубовы Молат — умацаваная дварфская застава, якая ахоўвае дарогу з Сыльваніі ў дварфскае гаспадарства Жуфбар.
Settlements.Settlement.text.castle_village_ZH1_1	Брама Грымбара — праход каля Дубовага Молата, што вядзе ў тунэлі пад гарамі. Яго бароняць магутныя руны, а для адкрыцьця патрэбныя чатыры ключы. Яны належаць чатыром найважнейшым даві Жуфбару: каралю, каралеве, кіраўніку Гільдыі інжынэраў і брамніку.
Settlements.Settlement.text.castle_village_ZH1_2	Малая вартаўнічая вежа для нагляду за возерам Чорная Вада, ягоным берагам і прыбярэжнымі сьцежкамі.
Settlements.Settlement.text.castle_ZH2	Малая непрыкметная крэпасьць у схаванай, добра абароненай пячоры, якая пільнуе іншыя берагі возера Чорная Вада.
Settlements.Settlement.text.castle_village_ZH2_1	Малая застава, дзе зьбіраюць соль і іншыя мінэралы каля возера Чорная Вада.
Settlements.Settlement.text.town_KK1	Карак-Кадрын — адно з наймагутнейшых дварфскіх гаспадарстваў. На высокай гары каля Пікавага Перавалу стаіць цьвярдыня забойцаў і іхнага караля Ўнгрыма Жалезнага Кулака. Крэпасьць шмат разоў аблягалі, але яна ніколі не падала дзякуючы забойцам, якія сьцякаюцца сюды. Разам з гарматамі з Каразу-а-Караку й уласнымі стралакідамі ды каменякідамі яны робяць Карак-Кадрын амаль непрыступным. Горад і гаспадарства багацеюць з капальняў, але галоўныя прыбыткі прыносяць гандаль з Імперыяй і Кісьлевам ды высокая плата за праход праз адзіны абаронены горны перавал, якую ўсе караваны ўносяць без ваганьняў.
Settlements.Settlement.text.village_KK1_1	Ад дварфскага «бараз» — прысяга й «бар» — уваход; гэта малы назіральны пост ля падножжа гары, дзе пачынаецца сьцежка да ўваходу ў цьвярдыню забойцаў Карак-Кадрын. Назва яскрава выказвае намеры тутэйшых жыхароў.
Settlements.Settlement.text.village_KK1_2	Адкрыты кар'ер ля падножжа вялікай цьвярдыні забойцаў. Ён ня такі багаты, як капальні ўнутры гары. Але сама думка, што нехта можа пачаць капаць і красьці «іхныя» мінэралы, прымушае даві заўсёды трымаць тут шахтарскую брыгаду й удвая ці ўтрая больш патрульных з сякерамі напагатове.
Settlements.Settlement.text.town_KK2	Карак-Разяк — цьвярдыня даві пад абаронаю Карак-Кадрыну. Яна мае выхад да падземных шляхоў і дасканалую сыстэму адпампоўваньня вады, якая дапамагае раскопкам пад гарою. Цьвярдыня адыграла важную ролю ў вайне з вампірамі: адсюль выйшла вялікае дварфскае войска на дапамогу Імперыі.
Settlements.Settlement.text.village_KK2_1	Умгі Грог — малое чалавечае селішча ля падножжа цьвярдыні Карак-Разяк. Хоць тут жывуць імперцы, яны падпарадкоўваюцца дварфскаму гаспадарству Карак-Кадрын.
Settlements.Settlement.text.village_KK2_2	Умгі Грызал — адно з двух чалавечых селішчаў пад цьвярдыняю Карак-Разяк. Абодва вырошчваюць ежу й аддаюць частку дварфскай цьвярдыні ў абмен на абарону.
Settlements.Settlement.text.castle_KK1	Казад Дрэнгі — адна са шматлікіх заставаў вялізнай цьвярдыні забойцаў. Яна стаіць на заходнім ускрайку ўладаньняў Карак-Кадрыну, і людзям найпрасьцей дабрацца менавіта сюды, не заходзячы глыбока ў горы й не набліжаючыся да Пікавага Перавалу. Бо ўсім вядома: нягледзячы на дварфскую ахову, гэты край уразьлівы да набегаў зялёнаскурых.
Settlements.Settlement.text.castle_village_KK1_1	Брындураз, што на кхазалідзе азначае «зьзяючы камень», — адна зь нямногіх капальняў Старога Сьвету, дзе можна знайсьці гэты ярка-сіні мінэрал, які вельмі цэняць дварфскія ювэліры.
Settlements.Settlement.text.castle_KK2	«Старая гара» на мове дварфаў. Настолькі трывалая й цяжкая для пранікненьня, што тут вырашылі ўзьвесьці адну з галоўных абарончых крэпасьцяў.
Settlements.Settlement.text.castle_village_KK2_1	Грунг Крунк — старая капальня, зачыненая пасьля абвалу. Хоць працу не аднавілі, ацалелыя будынкі служаць базаю для збору ягадаў і паляваньня на ўсё, што сустракаецца ў лесе: ад дзікоў да выпадковых зялёнаскурых ці зьвералюдаў.
Settlements.Settlement.text.castle_KK3	Узкул Бар, ці «Касьцяная Брама» на кхазалідзе, — малы форт на мяжы Гораў Краю Сьвету й Цёмных Земляў, дзе паўсюль ляжаць шматвяковыя парэшткі істотаў. Ён ахоўвае ўсходні ўваход ва ўладаньні даві Караз Анкор і ў землі ўмгі. Праз гэты перавал шмат караванаў ідзе з Катая ў Імперыю, хоць іхная колькасьць меншае.
Settlements.Settlement.text.castle_village_KK3_1	Малая дварфская гандлёвая застава ў лесе на мяжы Остэрмарку. Яе назва літаральна азначае «гандаль у лесе».
Settlements.Settlement.text.town_MC1	Буйнаоркал, спадчына Грома Пузана, — цьвярдыня пасярод Брэтоніі, якая нагадвае пра вечную пагрозу зялёнаскурых у краі. Шырокая сетка тунэляў злучае шматлікія залы, дзе яны жывуць, і дазваляе ўхіляцца ад нападнікаў. Буйнаоркал вытрымаў шмат аблогаў і будзе вытрымліваць далей: ягоная прыродная абарона цяжка паддаецца прарыву.
Settlements.Settlement.text.village_MC1_1	Назву Зелёнаверх далі брэтоньцы пасьля шматлікіх бітваў з зялёнаскурымі. На вяршыні ляжала столькі мёртвых гоблінаў і оркаў, што гара зялёных тушаў сягала ўражлівай вышыні.
Settlements.Settlement.text.village_MC1_2	Калькат — малы горад на дарозе паміж Імперыяй і Марыенбургам. Тутэйшыя людзі — сапраўдныя вэйстляндцы, але адчуваюць пэўную вернасьць Імперыі й ейным багам. Асабліва даўні й вельмі артадаксальны тут храм Сігмара. Дзякуючы гандлю з далёкімі краямі ў Марыенбург прывезьлі чужаземных жывёлаў з пустыняў Арабіі. Ляндсраад вырашыў трымаць і разводзіць іх у Калькаце, каб зьнізіць іхны кошт для будучага гандлю.
Settlements.Settlement.text.village_MC1_3	Малая пакінутая брэтонская вёска, цяпер захопленая агіднымі гоблінамі. Яна ляжыць на поўдзень ад Буйнаоркалу й пастаўляе шмат драўніны мясцовым плямёнам.
Settlements.Settlement.text.town_MC2	Найвышэйшы пік Буйнаоркалу служыць цьвярдыняю для астатніх жыхароў гары. Добра ўмацаваная й зручная для абароны, гэтая вострая сьмяротная вяршыня дае абаронцам перавагу вышыні.
Settlements.Settlement.text.village_MC2_1	Гэты могільнік — месца апошняй бітвы рыцараў Кюілё з ордамі зялёнаскурых. Курганы раскіданыя па шырокім абшары на поўнач ад Жыё: частка ў Шалёнскім лесе, частка ў гарах Буйнаоркал. Звычайны курган мае каля дваццаці пахавальных камэраў, злучаных тунэлямі, але некаторыя значна большыя. Шукальнікі прыгодаў кажуць, што бачылі ў лесе курган памерам з горад, аднак нежыць прагнала іх да таго, як яны пасьпелі яго дасьледаваць. Большасьць курганоў у нізінах цяпер — пустыя камэры, даўно разрабаваныя оркамі й брэтонцамі. Оркі захапілі большасьць зь іх і карыстаюцца падмуркамі; да таго ж іх вабіла магчымасьць перамагчы апошніх нежывых вартавых.
Settlements.Settlement.text.village_MC2_2	Калісьці тут было гняздо вялікага зялёнага дракона, а цяпер Да Яшчарына Гняздо — малы орчы форт. Ён стаіць як помнік хлопцам, што перамаглі Вялікую Зялёную Яшчарку.
